start_time,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18
04:00,34'266,34'313,26'112,25'679,28'616,28'660,31'495,30'239,42'052,42'362,40'316,37'001,28'835
05:00,105'773,116'264,121'315,105'747,117'502,115'656,105'052,116'380,102'140,128'609,110'040,131'205,129'006
06:00,328'642,355'975,359'173,353'573,357'458,329'214,371'913,360'305,414'840,374'687,398'750,400'956,415'515
07:00,1'112'911,1'035'826,1'091'840,1'068'798,1'079'434,1'162'465,1'073'848,1'098'116,1'215'227,1'171'839,1'179'011,1'178'961,1'271'733
08:00,2'429'440,2'214'273,2'400'862,2'199'229,2'170'319,2'385'342,2'280'502,2'440'065,2'497'475,2'410'988,2'512'030,2'590'863,2'448'015
09:00,1'047'817,1'105'609,1'039'835,1'038'483,915'112,937'497,1'040'675,1'037'486,980'302,1'021'719,1'011'015,968'152,870'596
10:00,961'556,1'012'547,998'723,981'424,967'681,1'029'336,1'002'052,930'181,1'038'631,927'938,899'927,863'689,823'694
11:00,1'100'595,1'058'879,1'054'139,1'027'933,1'088'660,1'127'170,1'180'441,1'077'292,1'072'439,1'010'101,1'036'308,961'864,924'331
12:00,1'194'201,1'215'112,1'216'673,1'116'318,1'154'212,1'188'074,1'290'612,1'241'331,1'360'253,1'096'690,1'174'416,1'133'980,998'211
13:00,1'195'791,1'319'180,1'230'346,1'121'784,1'194'188,1'170'899,1'272'153,1'218'250,1'241'056,1'168'327,1'200'674,1'087'921,1'019'486
14:00,1'088'600,1'153'115,1'146'124,1'051'517,1'070'043,1'164'310,1'215'599,1'301'595,1'265'286,1'198'569,1'160'526,1'128'123,1'075'566
15:00,2'149'717,2'173'919,2'317'593,2'036'671,2'071'287,2'274'059,2'247'180,2'365'900,2'358'994,2'353'313,2'213'534,2'295'566,2'224'111
16:00,1'301'289,1'368'123,1'435'353,1'327'700,1'287'810,1'396'961,1'505'071,1'479'599,1'452'941,1'465'549,1'396'010,1'358'691,1'307'056
17:00,1'532'566,1'594'456,1'555'525,1'553'969,1'604'725,1'559'853,1'630'393,1'600'385,1'689'673,1'661'183,1'570'384,1'624'035,1'585'327
18:00,1'273'015,1'243'794,1'299'515,1'233'230,1'120'404,1'196'316,1'237'596,1'335'326,1'322'766,1'338'703,1'358'619,1'212'428,1'257'284
19:00,805'144,879'386,845'014,807'793,787'434,810'106,923'261,928'855,1'013'694,806'752,794'914,854'088,726'543
20:00,595'074,608'413,575'620,491'593,528'291,497'342,598'970,679'738,602'037,590'006,592'099,552'285,503'789
21:00,403'687,427'429,398'400,390'145,373'387,366'609,460'273,427'308,450'411,410'127,424'561,394'558,329'838
22:00,259'511,337'795,299'695,313'174,281'757,295'873,337'507,325'694,371'945,350'250,339'783,287'787,255'639
23:00,183'975,228'788,220'166,182'157,186'927,166'293,220'236,247'543,231'918,199'228,185'987,178'251,196'171
00:00,74'693,74'278,65'961,59'455,63'486,68'674,76'514,101'868,70'100,73'360,59'524,65'824,60'318
01:00,48'574,34'120,27'601,29'137,24'775,44'737,44'737,37'171,32'509,35'763,35'395,33'953,23'575
02:00,23'618,14'911,19'444,24'237,20'919,16'367,39'880,24'197,22'081,23'666,13'716,21'027,24'132
03:00,18'037,15'494,23'183,18'559,18'367,17'365,18'020,11'034,13'849,14'405,12'145,15'155,9'368