borough, VKM Motorcycle, VKM Taxi, VKM Petrol Car, VKM Diesel Car, VKM Electric Car, VKM Petrol LGV, VKM Diesel LGV, VKM Electric LGV, VKM Bus, VKM Coach, VKM Rigid HGV, VKM Artic HGV, VKM TOTAL
Barking and Dagenham,7698733,6027143,293984599,200483103,830754,946517,73774960,123437,10158487,2258848,26691142,8512884,631490607
Barnet,28296942,43446389,917989489,626023887,2594093,2725634,212445875,355456,24256916,11558180,53702774,14469089,1937864726
Bexley,14028340,8684907,464357627,316669167,1312201,1455716,113463831,189843,13071664,5967857,25435392,7618223,972254767
Brent,14933358,32334251,432450580,294910123,1222037,1333906,103969546,173958,18635443,4061222,30296253,6487977,940808654
Bromley,19050033,12421895,636497652,434342151,1797665,1855189,144369792,241317,19734841,5858815,29053143,5118973,1310341466
Camden,21380200,44510799,206139165,144261043,728294,793206,61940907,145380,18345374,3207795,18243354,2484269,522179785
City,11279981,30572736,32511264,27381897,298053,271752,21389023,110811,7628004,2140986,6846506,638735,141069748
City of Westminster,39272025,145284700,249789504,181603656,1151379,1271865,99465234,286142,32757138,11635725,25575057,3075375,791167801
Croydon,16438287,11058950,528002234,360071673,1492051,1517458,118276213,197895,21909190,5503275,30250823,5481758,1100199805
Ealing,23413025,26994897,609651074,415752184,1722778,1960565,152813618,255682,20979933,7738880,42762480,10364987,1314410103
Enfield,16830975,30807099,732912283,620692674,1652071,3488744,184386570,218480,17143626,7842855,58212576,53710881,1727898834
Greenwich,23229633,38668152,462743690,315568541,1307641,1655719,129052762,215926,22662550,6802202,34062538,6972414,1042941766
Hackney,14507906,25265233,185660520,126782157,531404,757091,59014181,100105,17687805,2216434,17422126,2367631,452312594
Hammersmith and Fulham,18679649,30658820,187218954,127674161,529051,743761,57971455,96996,12376826,3481778,14305923,1585908,455323282
Haringey,11842975,28051119,245108981,167152324,692639,826518,64421819,107788,15904719,2164685,16938632,2596465,555808664
Harrow,7875748,6581407,350831490,239249900,991394,830897,64763161,108359,10464425,2981648,13880525,2819517,701378471
Havering,15686682,14225913,693380700,585749765,1568037,3398260,171959434,192160,15651685,8190036,54682082,62428131,1627112886
Hillingdon,22959643,35020127,1022913801,760845221,2671282,3031007,201424944,301203,19460777,23362718,61159935,19754623,2172905282
Hounslow,25103542,43909492,675991531,460993128,1910245,1944656,151573599,253607,16788374,9611114,37405986,7135006,1432620278
Islington,16683167,27678628,133863890,93330054,459054,624378,48738241,107535,14445132,1414424,14124387,1833980,353302868
Kensington and Chelsea,18760931,63963258,143785732,98054829,406316,678118,52854964,88435,12251371,3966203,13105472,1241463,409157091
Kingston,15542489,7975503,398306566,271625577,1125551,1103983,86048494,143973,10918109,3975600,18390909,3024540,818181295
Lambeth,28461626,38002917,241669863,167425928,786546,1053068,82174856,171768,24300061,3969088,20977362,2563935,611557017
Lewisham,17730631,22173026,277485138,189231279,784129,965246,75234836,125880,18489062,3155239,19379042,3411726,628165235
Merton,11961536,6384823,284273506,193860613,803312,853319,66510776,111283,11214735,3241290,16594280,2517162,598326636
Newham,15790687,53032322,348515783,237670701,984851,1215720,94757679,158545,17521026,3902365,34909380,8461677,816920736
NonGLA,137118360,91917119,6360574362,6537433115,10348532,44814412,1823535113,1334127,23230435,64208529,432721887,525553753,16052789745
Redbridge,16435354,43183018,612503989,417697733,1730839,1903928,148399069,248296,13120713,6461671,38142133,11949475,1311776216
Richmond,15893845,11305119,372631246,254116266,1052997,919846,71696157,119959,13376250,3932073,18109682,2410904,765564343
Southwark,25643301,36625833,221410729,153815676,737427,976352,76223964,172172,24524313,3845705,21782335,2793053,568550859
Sutton,7302483,5875584,273073117,186222496,771661,740619,57726548,96586,9364340,2833047,12923629,1979308,558909420
Tower Hamlets,24682130,43653693,259742865,177404964,744796,1253458,97707870,166656,13261815,3098721,32548848,4408382,658674199
Waltham Forest,12895312,42183362,385475187,262875205,1089292,1292190,100718017,168517,13658801,3300176,26608700,5809989,856074750
Wandsworth,28375884,24635797,309929767,211356927,875813,1152115,89800017,150250,17396386,3186351,22330096,2918723,712108125